appId;title;summary
co.bitx.android.wallet;Luno: Buy Bitcoin, Ethereum and Cryptocurrency;"Buy &amp; sell cryptocurrency | Blockchain wallet | Bitcoin, Ethereum &amp; more crypto"
xrp.org.freewallet.app;Ripple Wallet. Buy & Exchange XRP coin－Freewallet;Buy and Manage your XRP in secure Ripple coin storage with built-in exchange
com.cointiger.ex;CoinTiger-Crypto Exchange;CoinTiger is a professional crypto exchange App
com.bitfinex.mobileapp;Bitfinex;The ultimate crypto experience at your fingertips
piuk.blockchain.android;Blockchain.com Wallet - Buy Bitcoin, ETH, & Crypto;"Buy, send, swap &amp; exchange cryptocurrency like Bitcoin, Ethereum, &amp; Bitcoin Cash"
com.dcoin.exchange;Dcoin - Bitcoin Exchange;The financial industry-standard digital assets  platform.
app.freeairdrop.io;FreeAirdrop - Earn Free Crypto Airdrops;"✔  Start your cryptocurrency journey with free airdrops
🛑 100% Ad Free"
com.beaxy.cryptoexchange;Beaxy Exchange;Quickly and easily trade Bitcoin and other cryptocurrencies on the go.
com.currencyapp;Currency Converter - Money & Crypto Exchange Rates;Get live exchange rates of money and cryptocurrencies with Currency Converter
com.bitblinx.exchange;BITBLINX - Bitcoin Exchange & Crypto Trading;"BITBLINX - Exchange trade &amp; store your Bitcoin, Ethereum &amp; other crypto-currency"
com.zixipay.wallet;ZixiPay - Tether Wallet, Bitcoin Wallet;Tether Wallet (TRC20/ERC20/OMNI), Bitcoin Wallet, Ether Wallet, Litecoin Wallet
com.bitbns;Bitbns: Bitcoin, Crypto Trading Exchange India;5 min KYC, Free Quick deposits, Same day Withdrawals, Multi currency exchange
trx.org.freewallet.app;Tron Wallet. Store, send & receive TRX coin;Free TRX coin mainnet wallet with a built-in exchange and advanced security
com.digifinex.app;DigiFinex - Buy & Sell Bitcoin, Crypto Trading;Safe, stable, easy-to-use and fast cryptocurrency trading exchange
com.kraken.trade;Kraken Pro: Advanced Bitcoin & Crypto Trading;Margin trade cryptocurrency up to 5x. Charting tools for 100+ markets.
com.cobinhood.exchange;COBINHOOD - Zero Fees Bitcoin Exchange & Wallet;"World&#39;s first ZERO fees exchange for trading Bitcoin (BTC), Ether (ETH) &amp; more"
com.coindeal;CoinDeal - Bitcoin Buy & Sell;Get access to real time trading of the most popular cryptocurrencies
com.exmo;EXMO: Buy & Sell Bitcoin (BTC) on Crypto Exchange;Trade Bitcoin and other Crypto on EXMO Exchange. Buy, Sell or Hold over 57 coins
xmr.org.freewallet.app;Monero Wallet. Buy & Exchange XMR coins;Buy Monero in this easy-to-use wallet. Built-in exchange and XMR price stats.
com.coinbene.manbiwang;CoinBene;Digital currency exchange
com.dex.digitalexchangeid;digitalexchange.id -  Buy & Sell Digital Assets;"The digital asset exchange market for buying, selling &amp; managing digital assets."
com.bitmart.bitmarket;BitMart - Cryptocurrency Exchange;BitMart is the best trading platform for all cryptocurrency enthusiasts.
st.brothas.mtgoxwidget;Bitcoin Ticker Widget;Bitcoin Ticker Widget displays and monitors current BTC and LTC exchange rates.
com.wiseholder.wizhodl;wizHODL - Expert Bitcoin & Cryptocurrency Tracker;Expert cryptocurrency portfolio tracker.
com.kinesis.kinesisapp;Kinesis Money - Exchange Gold, Bitcoin & Currency;Trade currency, buy gold, spend crypto and store it all in a secure vault.
com.romerock.apps.utilities.cryptocurrencyconverter;Cryptocurrency Converter - Exchange Rates;"💰 Digital Money Calculator: Historical Data, Notifications &amp; Offline Mode"
com.fox.one;FoxOne - BTC,ETH,EOS,Cosmos exchange & wallet;Blockchain wallet and trading app(Bitcoin,BTC,Crypto,MIXIN,Wallet,Exchange)
com.hotbtc.exchange;HOTBTC - Buy Sell & Trade Cryptos. BTC ETH Wallet;"HOTBTC – Buy, Sell &amp; Trade Cryptos. Coin &amp; ICO Listing. Crypto Wallet."
com.whitebit.android;WhiteBIT: Cryptocurrency Trading;Crypto Trading Cryptocurrency Trading Crypto Staking
com.okinc.okex.gp;OKEx - Bitcoin/Crypto Trading Platform;"Trade Bitcoin&amp;Cryptocurrencies. Supports wallet, perpetual and options trading."
com.plutus.wallet;Abra Bitcoin Wallet Buy Trade Earn Interest Borrow;Buy, sell, hold, trade, earn interest, borrow on crypto assets all-in-one app
com.defi.wallet;Crypto.com l DeFi Wallet;"Secure crypto defi wallet - stake &amp; earn CRO and store BTC, ETH, ERC20 tokens"
kuna.beta;Kuna.io — Easy way to buy&sell BTC ETH USDT;A simple and convenient way to buy sell BTC ETH USDT
io.eidoo.wallet.prodnet;Eidoo: Bitcoin and Ethereum Wallet and Exchange;"Manage bitcoin, ethereum &amp; ERC20 tokens with the most secure wallet"
com.blockfolio.blockfolio;Blockfolio: Buy Bitcoin Now;The world's most popular Bitcoin and cryptocurrency portfolio management app
com.coincodex.coincodexapp;CoinCodex - Crypto & Bitcoin Price Charts and Data;Track Bitcoin and 7,000 other crypto coins with the CoinCodex portfolio app.
com.coinbase.pro;Coinbase Pro – Bitcoin & Crypto Trading;Most trusted crypto exchange. Trade on margin. Bitcoin, Ethereum, BTC, ETH.
com.valr.app;VALR - Bitcoin Exchange & Cryptocurrency Wallet;"Buy &amp; Sell Cryptocurrencies"
com.crypto.multiwallet;Guarda Crypto Wallet: Bitcoin, Ethereum, Ripple;"Store, Send, Buy &amp; Exchange Cryptocurrency: Bitcoin, Ethereum, Ripple, Tron"
com.bybit.app;Bybit: Crypto Trading & Bitcoin Futures App;"The World&#39;s Top Cryptocurrency Derivatives Exchange for Bitcoin &amp; Crypto"
com.crypto.currency;⭐️Bitcoin, Ethereum, IOTA Ripple Price,Crypto News;Real-Time Crypto Market Data
com.czprime;CoinZoom Pro;"Buy, Sell, Spend Bitcoin, Ethereum, &amp; more."
com.huobionchainwallet.gp;HuobiWallet;HuobiWallet is a professional multi-coin wallet.
com.trusteewallet;Trustee Wallet - best bitcoin and crypto wallet;Anonymous crypto wallet with exchange function
net.bitbay.bitcoin;Bitcoin & Crypto Exchange - BitBay;"Bitcoin exchange &amp; live ticker. Join 800 000+ users and start trading today!"
com.pro.changelly;Changelly PRO: Crypto Exchange;Trade cryptocurrency, buy and sell BTC, ETH
com.giottus.giottus_mobile;Giottus Cryptocurrency Exchange;Giottus – India’s Trusted Cryptocurrency, Bitcoin Trading Platform
com.colodax.colodax;Colodax - Bitcoin & Cryptocurrency exchange;"Buy Sell Bitcoin &amp; Other Top Cryptocurrencies in India"
com.cryptonator.android;Cryptonator cryptocurrency wallet;"Convenient &amp; secure cryptocurrency wallet"
com.bitpezapro.app;Bekonta - Fast & Easy Crypto Exchange;"Buy &amp; Sell Bitcoin (BTC), Ethereum (ETH) or Tron (TRX) within seconds."
com.gateio.gateio;gate.io - Popular Bitcoin&cryptocurrency Exchange;"Buy&amp;Sell, long&amp;Shot hundreds of popular cryptocurrencies and blockchain assets."
com.xcoex.mobile;XCOEX: Cryptocurrency Exchange & Blockchain Wallet;Buy, Exchange and Sell: Bitcoin, Ethereum, Litecoin and others
app.vinet;Vinet:Sell Bitcoin PayPal Skrill Netelle for Naira;Vinetexchange allows you to Sell your e-currency at best rate for instant naira.
com.crypterium;Crypterium | Bitcoin Wallet;Buy, exchange and transfer the most popular cryptocurrencies
com.uphold.wallet;Uphold - Trade, Invest, Send Money For Zero Fees;Go from Dollar to Gold in seconds, stress-free (1,000+ other currency pairs).
network.celsius.wallet;Celsius - Secure Crypto Wallet - BTC, ETH, USDT;Earn up to 15% APY on your crypto portfolio with Celsius’ secure crypto wallet!
com.nova.dax;NovaDAX - Buy & Sell Bitcoin and digital assets;Download now and trade BTC and other digital currencies with the best price!
