,appId,fraudulent,bugs,authentication,security,usability,ads_tracker,cust_support,total_negative,total,pct_negative,pct_fraud,pct_bugs,pct_auth,pct_sec,pct_usa,pct_ads,pct_cust
123,com.digifinex.app,35,20,21,8,11,1,11,137,652,21.01,25.55,14.6,15.33,5.84,8.03,0.73,8.03
124,com.dmaxwallet,0,0,0,0,0,0,0,1,7,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,com.doge.dex,3,0,1,1,0,0,0,14,61,22.95,21.43,0.0,7.14,7.14,0.0,0.0,0.0
126,com.dok.wallet,0,1,0,0,0,0,0,1,7,14.29,0.0,100.0,0.0,0.0,0.0,0.0,0.0
127,com.dowallet,10,2,1,3,3,0,6,30,156,19.23,33.33,6.67,3.33,10.0,10.0,0.0,20.0
128,com.drcrypto.wallet,16,4,0,0,0,0,2,34,58,58.62,47.06,11.76,0.0,0.0,0.0,0.0,5.88
129,com.dsdaq.mobiletrader,2,1,2,0,4,0,0,14,129,10.85,14.29,7.14,14.29,0.0,28.57,0.0,0.0
130,com.eletac.tronwallet,13,10,4,3,2,1,4,63,319,19.75,20.63,15.87,6.35,4.76,3.17,1.59,6.35
131,com.ellipal.wallet,12,7,3,1,2,0,3,48,224,21.43,25.0,14.58,6.25,2.08,4.17,0.0,6.25
132,com.elrond.maiar.wallet,25,5,13,1,2,1,6,80,593,13.49,31.25,6.25,16.25,1.25,2.5,1.25,7.5
133,com.emberfund.ember,14,3,3,1,3,0,2,26,166,15.66,53.85,11.54,11.54,3.85,11.54,0.0,7.69
134,com.enjin.mobile.wallet,41,26,8,20,12,1,32,206,2164,9.52,19.9,12.62,3.88,9.71,5.83,0.49,15.53
135,com.eofinance,15,0,4,0,2,0,2,40,262,15.27,37.5,0.0,10.0,0.0,5.0,0.0,5.0
136,com.erdtoken.android,6,0,6,0,2,0,0,26,80,32.5,23.08,0.0,23.08,0.0,7.69,0.0,0.0
137,com.ethlimited,2,0,0,0,0,0,0,3,47,6.38,66.67,0.0,0.0,0.0,0.0,0.0,0.0
138,com.evercoin,10,5,4,2,0,0,2,32,106,30.19,31.25,15.62,12.5,6.25,0.0,0.0,6.25
139,com.evraon.trading,0,0,0,0,0,0,0,1,4,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,com.exchangily.wallet,1,2,0,0,0,0,1,5,16,31.25,20.0,40.0,0.0,0.0,0.0,0.0,20.0
141,com.exmo,11,0,21,5,2,0,0,42,193,21.76,26.19,0.0,50.0,11.9,4.76,0.0,0.0
142,com.ezdefi,0,1,1,0,0,0,3,13,100,13.0,0.0,7.69,7.69,0.0,0.0,0.0,23.08
143,com.farhadmarket.app,0,0,0,0,0,0,0,16,104,15.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,com.fitbobcat.litecoinplus,0,0,0,0,0,0,0,1,3,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,com.flitaa.app,3,0,3,0,0,0,0,9,92,9.78,33.33,0.0,33.33,0.0,0.0,0.0,0.0
146,com.flutter.litebit,9,8,12,1,2,0,3,45,85,52.94,20.0,17.78,26.67,2.22,4.44,0.0,6.67
147,com.fox.one,0,0,1,0,0,0,0,2,70,2.86,0.0,0.0,50.0,0.0,0.0,0.0,0.0
148,com.friendst.strangr,0,0,0,0,0,1,0,4,5,80.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
149,com.g3shanappz.claimerbox,0,0,0,0,0,0,0,1,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,com.gemini.android.app,563,122,555,79,61,7,256,1398,4059,34.44,40.27,8.73,39.7,5.65,4.36,0.5,18.31
151,com.getchange.wallet.cordova,15,10,18,4,4,0,12,71,302,23.51,21.13,14.08,25.35,5.63,5.63,0.0,16.9
152,com.giottus.giottus_mobile,84,51,54,2,37,1,19,405,3425,11.82,20.74,12.59,13.33,0.49,9.14,0.25,4.69
153,com.greenaddress.greenbits_android_wallet,15,17,16,5,3,1,7,90,219,41.1,16.67,18.89,17.78,5.56,3.33,1.11,7.78
154,com.hagglex.hagglex,2,3,4,0,2,0,0,34,1510,2.25,5.88,8.82,11.76,0.0,5.88,0.0,0.0
155,com.hamrasta.hwallet,0,0,0,0,0,0,0,2,15,13.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,com.hconline.iso,0,0,0,0,0,0,0,1,4,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,com.holacoins.wallet,12,6,15,2,4,0,2,113,554,20.4,10.62,5.31,13.27,1.77,3.54,0.0,1.77
158,com.hotbtc.exchange,0,0,2,0,1,0,0,3,20,15.0,0.0,0.0,66.67,0.0,33.33,0.0,0.0
159,com.iMe.android,2,5,7,1,12,1,0,110,1246,8.83,1.82,4.55,6.36,0.91,10.91,0.91,0.0
160,com.idbtec.otppaycrypto,1,1,0,0,0,0,1,3,32,9.38,33.33,33.33,0.0,0.0,0.0,0.0,33.33
161,com.incognito.wallet,7,2,2,1,3,0,1,28,105,26.67,25.0,7.14,7.14,3.57,10.71,0.0,3.57
162,com.instantcoins,21,6,12,0,4,0,5,41,130,31.54,51.22,14.63,29.27,0.0,9.76,0.0,12.2
163,com.ixx_android,1,0,3,0,1,0,0,7,81,8.64,14.29,0.0,42.86,0.0,14.29,0.0,0.0
164,com.jex.trade,9,0,11,1,2,0,5,50,116,43.1,18.0,0.0,22.0,2.0,4.0,0.0,10.0
165,com.kinesis.kinesisapp,5,6,7,0,0,0,0,23,82,28.05,21.74,26.09,30.43,0.0,0.0,0.0,0.0
