app_name,anti_vm,obfuscator,anti_debug,anti_disassembly,manipulator,packer
com.krypto,True,False,False,False,False,False
com.bitcoinblockchain.suyd,True,False,False,False,False,False
com.cwallet,True,True,True,False,False,False
com.delieverme,True,False,False,False,False,False
com.allcoinwallet.allcoinwallet,True,False,True,False,False,False
com.erdtoken.android,True,False,True,False,False,False
io.totalcoin.wallet,True,True,True,False,False,False
com.credtech,True,False,False,False,False,False
io.kompasswallet,True,False,True,False,False,False
com.bitcoinindia.Btciapp,True,False,True,False,False,False
zapsolutions.zap,True,False,False,False,False,False
com.cryptowallet.deviantx,True,False,False,False,False,False
com.monederoapp,True,False,False,False,False,False
lt.spectrofinance.spectrocoin.android.wallet,True,False,True,False,False,False
everex.transfer,True,False,True,False,False,False
mw.org.freewallet.app,True,True,True,False,False,False
com.alpha.wallet,True,False,True,False,False,False
com.leadwallet.io,True,False,True,False,False,False
com.bitorzo.wallet,True,False,False,False,False,False
com.lingxi.bexplus,True,True,True,False,False,False
com.portto.blocto,True,False,True,False,False,False
com.elrond.maiar.wallet,True,False,True,False,False,False
com.lumicollect.android,True,True,True,False,False,False
io.eidoo.wallet.prodnet,True,False,True,False,False,False
com.blocktrail.mywallet,True,False,True,False,False,False
com.prizmbit,True,False,True,False,False,False
com.sparkpoint,True,False,False,False,False,False
com.xufagroup.cryptowallet,True,False,True,False,False,False
io.eosnova.wallet.android,True,False,True,False,False,False
com.bolowallet,True,False,True,False,False,False
com.atlas.mobile.wallet,True,False,True,False,False,False
mn.godeal.gopay,True,False,True,False,False,False
com.btcc.mobiwallet,True,False,False,False,False,False
com.zengo.wallet,True,True,False,False,False,False
com.lumiwallet.android,True,False,True,False,False,False
com.maxxwallet,True,False,True,False,False,False
io.atomicwallet,True,False,True,False,False,False
com.masterbitexpress.wallet,True,False,False,False,False,False
com.zixipay.wallet,True,False,False,False,False,False
piuk.blockchain.android,True,False,True,False,False,False
com.zelcash.zelcore,True,False,True,False,False,False
com.quppy,True,False,True,False,False,False
com.sixwallet,True,False,True,False,False,False
de.fuf.bitbucks,True,False,False,False,False,False
com.exchangily.wallet,True,False,False,False,False,False
com.airwalletofficial.air_wallet,False,False,False,False,False,False
com.airbitz,True,False,False,False,False,False
com.wirex,True,True,True,False,False,False
com.polehin.android,True,False,True,False,False,False
co.busha.android,True,False,True,False,False,False
com.liberty.jaxx,True,False,True,False,False,False
com.valr.app,True,False,True,False,False,False
com.agile.walletapp,True,False,True,False,False,False
com.cyberblock.cyberblockmobile,True,False,True,False,False,False
com.buyucoinApp.buyucoin,True,False,True,False,False,False
com.hotbtc.exchange,True,False,True,False,False,False
com.ellipal.wallet,True,True,False,False,False,False
com.bitpay.coincloud,True,False,True,False,False,False
com.sixpencer.simplework,True,False,True,False,False,False
com.dapppocket,True,False,False,False,False,False
global.bithumb.android,True,False,False,False,False,False
com.BitcoinWalletExchange.org,False,False,False,False,False,False
com.loafwallet,True,False,True,False,False,False
