app_id,lib_name,lib_type,TargetedAds,MobileAnalytics,Analytics,AnyTrackingLibrary
com.payperless.wallet,Appsflyer,Targeted ads,True,False,False,True
com.payperless.wallet,Bumptech,Utility,False,False,False,False
com.payplux,Github,Utility,False,False,False,False
com.payplux,Facebook,Social networking service,False,False,False,False
com.payplux,Bumptech,Utility,False,False,False,False
com.payplux,Google Ads,Targeted ads,True,False,False,True
com.payplux,Squareup,Payment,False,False,False,False
com.payscript,Github,Utility,False,False,False,False
com.payscript,Intuit,Payment,False,False,False,False
com.payscript,Squareup,Payment,False,False,False,False
com.payscript,Bumptech,Utility,False,False,False,False
com.phemex.app,Squareup,Payment,False,False,False,False
com.phemex.app,Facebook,Social networking service,False,False,False,False
com.phemex.app,Appsflyer,Targeted ads,True,False,False,True
com.phemex.app,Bumptech,Utility,False,False,False,False
com.phemex.app,Google Ads,Targeted ads,True,False,False,True
com.plasmapay.androidapp,Fasterxml,Utility,False,False,False,False
com.plasmapay.androidapp,Github,Utility,False,False,False,False
com.plasmapay.androidapp,Facebook,Social networking service,False,False,False,False
com.plasmapay.androidapp,Google Ads,Targeted ads,True,False,False,True
com.plasmapay.androidapp,Jakewharton,Ui component,False,False,False,False
com.plasmapay.androidapp,Kenai,Development aid,False,False,False,False
com.plasmapay.androidapp,Squareup,Payment,False,False,False,False
com.plunien.poloniex,Fasterxml,Utility,False,False,False,False
com.plunien.poloniex,Github,Utility,False,False,False,False
com.plunien.poloniex,Jakewharton,Ui component,False,False,False,False
com.plunien.poloniex,Google Ads,Targeted ads,True,False,False,True
com.plunien.poloniex,Bumptech,Utility,False,False,False,False
com.plunien.poloniex,Squareup,Payment,False,False,False,False
com.pointpay.bank,Facebook,Social networking service,False,False,False,False
com.pointpay.bank,Squareup,Payment,False,False,False,False
com.pointpay.bank,Bumptech,Utility,False,False,False,False
com.pointpay.bank,Github,Utility,False,False,False,False
com.pointpay.bank,Google Ads,Targeted ads,True,False,False,True
com.polispay.copay,Phonegap,Utility,False,False,False,False
com.polispay.copay,Google Ads,Targeted ads,True,False,False,True
com.profittrading.forcoinbase,Github,Utility,False,False,False,False
com.profittrading.forcoinbase,Crashlytics,Utilities,False,False,False,False
com.profittrading.forcoinbase,Google Ads,Targeted ads,True,False,False,True
com.qsoft.mybtc,Google Ads,Targeted ads,True,False,False,True
com.qubris.freecryptofaucet,Google Ads,Targeted ads,True,False,False,True
com.quidax.app,Facebook,Social networking service,False,False,False,False
com.quidax.app,Bumptech,Utility,False,False,False,False
com.quidax.app,Google Ads,Targeted ads,True,False,False,True
com.quidax.app,Google Analytics,Mobile analytics,False,True,False,True
com.remint.app,Facebook,Social networking service,False,False,False,False
com.remint.app,Squareup,Payment,False,False,False,False
com.remint.app,Google Ads,Targeted ads,True,False,False,True
com.remitano.remitano,Squareup,Payment,False,False,False,False
com.remitano.remitano,Bumptech,Utility,False,False,False,False
com.remitano.remitano,Facebook,Social networking service,False,False,False,False
com.remitano.remitano,Adobe,Utility,False,False,False,False
com.remitano.remitano,Google Ads,Targeted ads,True,False,False,True
com.saltlending.mobile,Jakewharton,Ui component,False,False,False,False
com.saltlending.mobile,Github,Utility,False,False,False,False
com.saltlending.mobile,Crashlytics,Utilities,False,False,False,False
com.saltlending.mobile,Facebook,Social networking service,False,False,False,False
com.saltlending.mobile,Amazonaws,Utility,False,False,False,False
com.saltlending.mobile,Adobe,Utility,False,False,False,False
com.saltlending.mobile,Google Ads,Targeted ads,True,False,False,True
com.sculptech.dtrax,Crashlytics,Utilities,False,False,False,False
com.sculptech.dtrax,Phonegap,Utility,False,False,False,False
com.sculptech.dtrax,Google Ads,Targeted ads,True,False,False,True
com.sencoinex.android,Github,Utility,False,False,False,False
com.sencoinex.android,Crashlytics,Utilities,False,False,False,False
com.sencoinex.android,Squareup,Payment,False,False,False,False
com.sencoinex.android,Google Ads,Targeted ads,True,False,False,True
com.shapeshift.droid_shapeshift,Facebook,Social networking service,False,False,False,False
com.shapeshift.droid_shapeshift,Bumptech,Utility,False,False,False,False
com.shapeshift.droid_shapeshift,Google Ads,Targeted ads,True,False,False,True
com.silvercoinvaluerpro,Squareup,Payment,False,False,False,False
com.silvercoinvaluerpro,Google Ads,Targeted ads,True,False,False,True
com.stocksexchange.android,Wutka,Utility,False,False,False,False
com.stocksexchange.android,Bumptech,Utility,False,False,False,False
com.stocksexchange.android,Fasterxml,Utility,False,False,False,False
com.stocksexchange.android,Github,Utility,False,False,False,False
com.stocksexchange.android,Squareup,Payment,False,False,False,False
com.studentcoin,Facebook,Social networking service,False,False,False,False
com.studentcoin,Adobe,Utility,False,False,False,False
com.studentcoin,Bumptech,Utility,False,False,False,False
com.studentcoin,Google Ads,Targeted ads,True,False,False,True
com.supremexchange,Github,Utility,False,False,False,False
com.supremexchange,Crashlytics,Utilities,False,False,False,False
com.supremexchange,Facebook,Social networking service,False,False,False,False
com.supremexchange,Adobe,Utility,False,False,False,False
com.viabtc.pool,Github,Utility,False,False,False,False
com.viabtc.pool,Facebook,Social networking service,False,False,False,False
com.viabtc.pool,Squareup,Payment,False,False,False,False
com.viabtc.pool,Umeng,Mobile analytics,False,True,False,True
com.viabtc.pool,Tencent,Targeted ads,True,False,False,True
com.viabtc.pool,Bumptech,Utility,False,False,False,False
com.wallet.ela,Fasterxml,Utility,False,False,False,False
com.wallet.ela,Github,Utility,False,False,False,False
com.wallet.ela,Crashlytics,Utilities,False,False,False,False
com.wallet.ela,Kenai,Development aid,False,False,False,False
com.wallet.ela,Google Ads,Targeted ads,True,False,False,True
com.whitebit.android,Squareup,Payment,False,False,False,False
com.whitebit.android,Bumptech,Utility,False,False,False,False
com.wrx.wazirx,Github,Utility,False,False,False,False
com.wrx.wazirx,Facebook,Social networking service,False,False,False,False
com.wrx.wazirx,Mixpanel,Mobile analytics,False,True,False,True
com.wrx.wazirx,Appsflyer,Targeted ads,True,False,False,True
com.wrx.wazirx,Push,Utility,False,False,False,False
com.wrx.wazirx,Bumptech,Utility,False,False,False,False
