file_name,signature,key_length
com.bitcoin.wallet.btc.apk,error,error
com.ptpwallet.apk, SHA256 + RSA, 4096-bit RSA key
com.blockchain.wallet.btc.apk,error,error
org.toshi.apk, SHA256 + RSA, 2048-bit RSA key
com.silenca.amlsafe.apk, SHA256 + RSA, 4096-bit RSA key
com.zipwallet.app.apk, SHA256 + RSA, 2048-bit RSA key
com.paxful.wallet.apk, SHA256 + RSA, 4096-bit RSA key
com.paymintlabs.paymint.apk, SHA256 + RSA, 4096-bit RSA key
com.breadwallet.apk, SHA256 + RSA, 2048-bit RSA key
com.bitcoinblack.wallet.apk, SHA256 + RSA, 2048-bit RSA key
com.ninjacoin.apk, SHA256 + RSA, 4096-bit RSA key
com.signkeys.wallet.portfolio.apk, SHA256 + RSA, 4096-bit RSA key
org.bitcoinox.bitcoinoxwallet.apk, SHA256 + RSA, 4096-bit RSA key
com.Android.Inc.bitwallet.apk, SHA256 + RSA, 4096-bit RSA key
org.guapcoin.multiwallet.apk, SHA256 + RSA, 4096-bit RSA key
com.androidwallet.apk, SHA256 + RSA, 4096-bit RSA key
com.coinfalcon.mobile.apk, SHA256 + RSA, 4096-bit RSA key
com.ripio.android.apk, SHA1 + RSA (weak), 1024-bit RSA key (weak)
co.bacoor.keyring.apk, SHA256 + RSA, 4096-bit RSA key
com.bitnovo.app.apk, SHA256 + RSA, 4096-bit RSA key
com.mercuryo.app.apk, SHA256 + RSA, 2048-bit RSA key
kr.co.keypair.keywalletTouch.apk, SHA256 + RSA, 4096-bit RSA key
com.lobstr.client.apk, SHA256 + RSA, 2048-bit RSA key
io.rapids.network.wallet.apk, SHA256 + RSA, 4096-bit RSA key
com.ethlimited.apk, SHA256 + RSA, 2048-bit RSA key
com.t7.wether.apk, SHA256 + RSA, 4096-bit RSA key
com.qcan.mobile.bitcoin.wallet.apk, SHA256 + RSA, 2048-bit RSA key
co.satoshiwallet.app.apk, SHA256 + RSA, 4096-bit RSA key
com.bit.btcwallet.apk, SHA256 + RSA, 4096-bit RSA key
io.safepal.wallet.apk, SHA256 + RSA, 2048-bit RSA key
com.b4uwallet.android.apk, SHA256 + RSA, 4096-bit RSA key
com.kesemwalletapp.apk, SHA256 + RSA, 4096-bit RSA key
com.kr.iotrust.dcent.wallet.apk, SHA256 + RSA, 4096-bit RSA key
exchange.einstein.mobile.release.apk, SHA256 + RSA, 4096-bit RSA key
com.XcelTrip.XcelPay.apk, SHA256 + RSA, 4096-bit RSA key
com.enjin.mobile.wallet.apk, SHA256 + RSA, 4096-bit RSA key
tw.org.freewallet.app.apk, SHA256 + RSA, 2048-bit RSA key
com.getchange.wallet.cordova.apk, SHA256 + RSA, 4096-bit RSA key
com.wallet.crypto.trustapp.apk, SHA256 + RSA, 4096-bit RSA key
com.fox.one.apk, SHA256 + RSA, 2048-bit RSA key
com.dowallet.apk, SHA256 + RSA, 4096-bit RSA key
com.crypto.multiwallet.apk, SHA256 + RSA, 4096-bit RSA key
org.topnetwork.hiwallet.apk, SHA256 + RSA, 2048-bit RSA key
etherio.wallet.com.apk, SHA256 + RSA, 4096-bit RSA key
com.coinbase.android.apk, SHA1 + RSA (weak), 2048-bit RSA key
fr.acinq.phoenix.mainnet.apk, SHA384 + RSA, 4096-bit RSA key
org.coinid.wallet.tbtc.apk, SHA256 + RSA, 2048-bit RSA key
org.coinid.wallet.tgrs.apk, SHA256 + RSA, 2048-bit RSA key
org.coinid.wallet.btc.apk, SHA256 + RSA, 2048-bit RSA key
org.coinid.wallet.grs.apk, SHA256 + RSA, 2048-bit RSA key
org.coinid.wallet.xmy.apk, SHA256 + RSA, 2048-bit RSA key
com.eofinance.apk, SHA256 + RSA, 2048-bit RSA key
org.electroncash.wallet.apk, SHA256 + RSA, 2048-bit RSA key
cash.klever.blockchain.wallet.apk, SHA256 + RSA, 4096-bit RSA key
io.goldwallet.wallet.apk, SHA256 + RSA, 4096-bit RSA key
it.inbitcoin.altana.apk, SHA256 + RSA, 2048-bit RSA key
