----Unknown Level Permission--------
pe.bluemountain419.jungledex.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.sparkpoint.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.spot.spot.batch.permission.INTERNAL\_BROADCAST & 1 (0.2\%)\\ 
com.kubi.kucoin.permission.MIPUSH\_RECEIVE & 1 (0.2\%)\\ 
com.t7.wether.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.tencent.mm.plugin.permission.SEND & 1 (0.2\%)\\ 
com.top1.group.international.android.permission.JPUSH\_MESSAGE & 1 (0.2\%)\\ 
com.kubi.kucoin.permission.PROCESS\_PUSH\_MSG & 1 (0.2\%)\\ 
1000 & 1 (0.2\%)\\ 
com.kubi.kucoin.permission.JPUSH\_MESSAGE & 1 (0.2\%)\\ 
com.beecrypt.beecrypthd.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
app.bankowallet.android.permission.ACCESS\_SVC & 1 (0.2\%)\\ 
app.bankowallet.android.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
app.elaphant.wallets.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
app.elaphant.wallets.permission.MIPUSH\_RECEIVE & 1 (0.2\%)\\ 
app.elaphant.wallets.push.permission.MESSAGE & 1 (0.2\%)\\ 
asia.coins.mobile.permission.LOGOUT\_PERMISSION & 1 (0.2\%)\\ 
cash.klever.blockchain.wallet.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
claimerbox\_34.permission.PushHandlerActivity & 1 (0.2\%)\\ 
co.bacoor.android.hbwallet.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
co.my.com.zebpay.C2D\_MESSAGE & 1 (0.2\%)\\ 
co.satoshiwallet.app.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
cobo.wallet.permission.JPUSH\_MESSAGE & 1 (0.2\%)\\ 
coin98.crypto.finance.media.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.Bitplicity.Bitplicityapp.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.aax.exchange.permission.JPUSH\_MESSAGE & 1 (0.2\%)\\ 
com.android.rave.provider.READ\_PERMISSION & 1 (0.2\%)\\ 
com.app.asbazar59.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.app.belfrics.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.application.blocdesk.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
app.banko.android.permission.MIPUSH\_RECEIVE & 1 (0.2\%)\\ 
android.webkit.PermissionRequest & 1 (0.2\%)\\ 
android.permission.WRITE\_USER\_DICTIONARY & 1 (0.2\%)\\ 
android.permission.NOTIFICATIONS & 1 (0.2\%)\\ 
MeDiaStore.Images.Media.INTERNAL\_CONTENT\_URI & 1 (0.2\%)\\ 
TODO & 1 (0.2\%)\\ 
android.hardware.usb.accessory & 1 (0.2\%)\\ 
android.permission.ACCESS\_COARSE\_UPDATES & 1 (0.2\%)\\ 
android.permission.ACTION\_OPEN\_DOCUMENT & 1 (0.2\%)\\ 
android.permission.AUDIO\_CAPTURE & 1 (0.2\%)\\ 
android.permission.CAMERA2 & 1 (0.2\%)\\ 
android.permission.GET\_CLIPS & 1 (0.2\%)\\ 
android.permission.PREVENT\_POWER\_KEY & 1 (0.2\%)\\ 
android.permission.WRITE\_SETTING & 1 (0.2\%)\\ 
android.permission.READ\_CLIPS & 1 (0.2\%)\\ 
android.permission.READ\_OWNER\_DATA & 1 (0.2\%)\\ 
android.permission.Read\_EXTERNAL\_STORAGE & 1 (0.2\%)\\ 
android.permission.USE\_BIOMETRIC\_INTERNAL & 1 (0.2\%)\\ 
android.permission.VIDEO\_CAPTURE & 1 (0.2\%)\\ 
android.permission.WRITE\_CLIPS & 1 (0.2\%)\\ 
android.permission.WRITE\_MEDIA\_STORAGE & 1 (0.2\%)\\ 
android.permission.WRITE\_PROFILE & 1 (0.2\%)\\ 
com.asus.msa.SupplementaryDID.ACCESS & 1 (0.2\%)\\ 
com.binance.dev.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.koinstrap.koinstrap.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.binance.dev.permission.JPUSH\_MESSAGE & 1 (0.2\%)\\ 
com.cryptocurrency.jtechtrade.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.cryptooriented.exchanges.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.cyberblock.cyberblockmobile.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.dowallet.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.ellipal.wallet.permission.JPUSH\_MESSAGE & 1 (0.2\%)\\ 
com.enjin.mobile.wallet.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
