app_id,TargetedAds,MobileAnalytics,AnyTrackingLibrary,Analytics
jp.coincheck.android,1,2,3,0
kr.co.keypair.keywalletTouch,0,0,0,0
kuna.beta,2,1,3,0
latoken.kucoin.trustapp.zebpay.coinmarketcap.coindcx,1,0,1,0
lt.spectrofinance.spectrocoin.android.wallet,1,0,1,0
ltcc.org.freewallet.app,2,1,3,0
me.coinpal.app,1,1,2,0
me.cryptopay.android,1,0,1,0
mn.godeal.gopay,1,0,1,0
mw.org.freewallet.app,2,1,3,0
neo.org.freewallet.app,2,1,3,0
net.bitbay.bitcoin,0,0,0,0
net.bitcoinrevolution.bitcoin.cash.wallet,1,0,2,1
net.bitstamp.app,1,1,2,0
net.ethylyte.com,0,0,0,0
net.iconomi.android,0,1,1,0
net.tendancesbitcoin.free.bitcoin.bch.wallet,0,0,1,1
net.walletharcomia.android,1,0,1,0
network.celsius.wallet,2,1,3,0
network.xyo.coin,10,0,10,0
new.rich.wallet,0,0,0,0
nxt.org.freewallet.app,2,1,3,0
one.mixin.messenger,1,0,1,0
org.bitcoinox.bitcoinoxwallet,1,0,1,0
org.coinid.vault,0,0,0,0
org.coinid.wallet.btc,0,0,0,0
org.coinid.wallet.grs,0,0,0,0
org.coinid.wallet.tbtc,0,0,0,0
org.coinid.wallet.tgrs,0,0,0,0
org.coinid.wallet.xmy,0,0,0,0
org.cryptoblastersltd.bitcoin.wallet.account,1,0,2,1
org.cryptoforecast.free.bitcoin.cash.wallet.app,0,0,1,1
org.cryptosignals.bitcoin.free.wallet,0,0,1,1
org.cryptosignals.bitcoin.free.wallet1,0,0,1,1
org.cryptosignals.free.bitcoin.cash.wallet,0,0,1,1
org.deuscoin.wallet,1,0,1,0
org.guapcoin.multiwallet,1,0,1,0
org.nativescript.mywallets,1,0,1,0
org.strayacoin.bitcoinpos,1,0,1,0
org.strayacoin.litecoinpos,1,0,1,0
org.topnetwork.hiwallet,1,0,1,0
org.toshi,1,0,1,0
org.walleth,0,0,0,0
paydeepp.elegro.io,1,0,1,0
pe.bluemountain419.jungledex,1,1,2,0
piuk.blockchain.android,1,0,1,0
pt.ipleiria.estg.dei.yabw,0,0,0,0
roseon.finance,1,0,1,0
starlab.studios.cryptowallet,1,0,1,0
tech.central.ctocoin,1,0,1,0
tech.vontech.blockchain.jetoken,1,0,1,0
trx.org.freewallet.app,2,1,3,0
tw.org.freewallet.app,2,1,3,0
urubit.uwallet.app,0,0,0,0
usdt.org.freewallet.app,2,1,3,0
xmr.org.freewallet.app,2,1,3,0
xrp.org.freewallet.app,2,1,3,0
zapsolutions.zap,0,0,0,0
