app_id,N/A,customized,dangerous,normal,signature
com.lumicollect.android,,3.0,2.0,6.0,1.0
com.lumiwallet.android,,4.0,3.0,6.0,2.0
com.luneswallet,,,5.0,2.0,1.0
com.lynengine.beautycryptowallet,,4.0,1.0,3.0,1.0
com.magnum.wallet,,3.0,4.0,3.0,1.0
com.maicoin.max,,7.0,4.0,10.0,4.0
com.masterbitexpress.wallet,,,5.0,2.0,
com.matrixport.mark,2.0,6.0,9.0,9.0,4.0
com.maxxwallet,,4.0,6.0,6.0,3.0
com.medishares.android,,7.0,4.0,8.0,3.0
com.mercuryo.app,,4.0,7.0,7.0,2.0
com.mexcpro.client,4.0,13.0,7.0,16.0,6.0
com.midasprotocol.wallet.android,,3.0,3.0,7.0,1.0
com.monederoapp,,16.0,1.0,3.0,3.0
com.monnos.android,1.0,5.0,4.0,9.0,1.0
com.mtpelerin.bridge,,20.0,9.0,13.0,5.0
com.mycelium.wallet,,4.0,3.0,7.0,1.0
com.mycontainer,,3.0,1.0,7.0,1.0
com.nakitcoins.wallet,,,1.0,3.0,
com.neobitcoin.wallet,1.0,15.0,12.0,10.0,5.0
com.net_cents.netcents2,,17.0,4.0,6.0,2.0
com.newcurrency.coinstrunk.v1,,,3.0,3.0,
com.newgo.coincola,1.0,7.0,8.0,13.0,2.0
com.nexowallet,,19.0,6.0,8.0,4.0
com.ninjacoin,1.0,14.0,1.0,8.0,2.0
com.nobillio.coinbaazar,,18.0,5.0,5.0,3.0
com.node.coindirect,,4.0,2.0,7.0,1.0
com.nova.dax,,22.0,5.0,9.0,4.0
com.okinc.okex.gp,3.0,16.0,10.0,12.0,3.0
com.oracle.wallet,,1.0,1.0,6.0,1.0
com.ownrwallet.wallet,,6.0,2.0,9.0,2.0
com.panaeshacapital.pcex,1.0,22.0,13.0,11.0,7.0
com.paxful.wallet,1.0,4.0,4.0,6.0,1.0
com.paymintlabs.paymint,,,2.0,3.0,
com.payperless.wallet,,4.0,7.0,7.0,1.0
com.payplux,1.0,4.0,4.0,10.0,2.0
com.payscript,,,2.0,3.0,
com.paytomat,1.0,4.0,5.0,7.0,1.0
com.phemex.app,,15.0,4.0,8.0,2.0
com.pint.app,,4.0,4.0,5.0,1.0
com.plasmapay.androidapp,,2.0,6.0,7.0,2.0
com.plunien.poloniex,,3.0,4.0,8.0,1.0
com.plutus.wallet,1.0,6.0,9.0,5.0,1.0
com.pointpay.bank,,3.0,3.0,7.0,1.0
com.polehin.android,,7.0,3.0,9.0,1.0
com.polispay.copay,,4.0,7.0,6.0,1.0
com.portto.blocto,,20.0,6.0,9.0,3.0
com.prizmbit,,3.0,3.0,6.0,1.0
com.profittrading.forcoinbase,,4.0,2.0,4.0,1.0
com.ptpwallet,,18.0,6.0,5.0,4.0
com.pumapay.pumawallet,,4.0,4.0,7.0,1.0
com.qcan.mobile.bitcoin.wallet,,4.0,5.0,7.0,1.0
com.qsoft.mybtc,,3.0,3.0,4.0,1.0
com.quarkonium.qpocket,1.0,15.0,7.0,11.0,1.0
com.qubris.freecryptofaucet,,1.0,1.0,3.0,1.0
