app_id,activity,exp_activity,exp_provider,exp_receiver,exp_service,provider,receiver,service,pct_exp_act,pct_exp_serv,pct_exp_rec,pct_exp_prov
com.magnum.wallet,3.0,,,2.0,1.0,2.0,4.0,3.0,,0.33,0.5,
com.maicoin.max,27.0,8.0,,6.0,1.0,10.0,12.0,22.0,0.3,0.05,0.5,
com.masterbitexpress.wallet,2.0,,,,,,,,,,,
com.matrixport.mark,120.0,3.0,2.0,2.0,1.0,9.0,10.0,11.0,0.02,0.09,0.2,0.22
com.maxxwallet,36.0,,,3.0,3.0,6.0,12.0,12.0,,0.25,0.25,
com.medishares.android,524.0,,,2.0,1.0,3.0,4.0,4.0,,0.25,0.5,
com.mercuryo.app,32.0,1.0,,4.0,1.0,7.0,9.0,9.0,0.03,0.11,0.44,
com.mexcpro.client,119.0,1.0,,1.0,2.0,6.0,16.0,16.0,0.01,0.12,0.06,
com.midasprotocol.wallet.android,74.0,1.0,,1.0,2.0,6.0,11.0,12.0,0.01,0.17,0.09,
com.monederoapp,4.0,,,1.0,,2.0,2.0,4.0,,,0.5,
com.monnos.android,161.0,,,1.0,1.0,8.0,4.0,11.0,,0.09,0.25,
com.mtpelerin.bridge,7.0,1.0,,3.0,1.0,3.0,8.0,14.0,0.14,0.07,0.38,
com.mycelium.wallet,97.0,,1.0,1.0,5.0,5.0,9.0,12.0,,0.42,0.11,0.2
com.mycontainer,4.0,1.0,,3.0,,2.0,4.0,6.0,0.25,,0.75,
com.nakitcoins.wallet,3.0,,,,,1.0,,,,,,
com.neobitcoin.wallet,29.0,6.0,,6.0,1.0,9.0,11.0,20.0,0.21,0.05,0.55,
com.net_cents.netcents2,10.0,,,1.0,,3.0,1.0,1.0,,,1.0,
com.newcurrency.coinstrunk.v1,4.0,,,,1.0,,,1.0,,1.0,,
com.newgo.coincola,94.0,2.0,2.0,7.0,5.0,12.0,23.0,24.0,0.02,0.21,0.3,0.17
com.nexowallet,4.0,1.0,,3.0,,3.0,5.0,8.0,0.25,,0.6,
com.ninjacoin,3.0,,,1.0,2.0,1.0,7.0,8.0,,0.25,0.14,
com.nobillio.coinbaazar,9.0,,,3.0,,6.0,9.0,7.0,,,0.33,
com.node.coindirect,7.0,1.0,,3.0,2.0,3.0,5.0,13.0,0.14,0.15,0.6,
com.nova.dax,10.0,1.0,,3.0,2.0,8.0,9.0,9.0,0.1,0.22,0.33,
com.okinc.okex.gp,421.0,5.0,1.0,3.0,7.0,12.0,15.0,20.0,0.01,0.35,0.2,0.08
com.oracle.wallet,13.0,1.0,,,,3.0,1.0,4.0,0.08,,,
com.ownrwallet.wallet,21.0,2.0,,3.0,1.0,8.0,11.0,17.0,0.1,0.06,0.27,
com.panaeshacapital.pcex,27.0,8.0,,6.0,1.0,10.0,14.0,26.0,0.3,0.04,0.43,
com.paxful.wallet,10.0,1.0,,2.0,1.0,4.0,7.0,10.0,0.1,0.1,0.29,
com.paymintlabs.paymint,6.0,,,,,1.0,1.0,,,,,
com.payperless.wallet,10.0,1.0,,2.0,2.0,6.0,4.0,7.0,0.1,0.29,0.5,
com.payplux,128.0,,,3.0,2.0,3.0,13.0,15.0,,0.13,0.23,
com.payscript,21.0,,,,,2.0,,1.0,,,,
com.paytomat,58.0,2.0,,3.0,,4.0,5.0,8.0,0.03,,0.6,
com.phemex.app,34.0,4.0,2.0,3.0,3.0,15.0,16.0,25.0,0.12,0.12,0.19,0.13
com.pint.app,42.0,1.0,,3.0,1.0,5.0,5.0,6.0,0.02,0.17,0.6,
com.plasmapay.androidapp,39.0,2.0,,1.0,2.0,7.0,11.0,12.0,0.05,0.17,0.09,
com.plunien.poloniex,17.0,,,1.0,,6.0,3.0,10.0,,,0.33,
com.plutus.wallet,157.0,,,1.0,1.0,3.0,5.0,12.0,,0.08,0.2,
com.pointpay.bank,49.0,,,1.0,,3.0,4.0,8.0,,,0.25,
com.polehin.android,8.0,1.0,,3.0,2.0,8.0,5.0,10.0,0.12,0.2,0.6,
com.polispay.copay,4.0,,,2.0,,2.0,7.0,8.0,,,0.29,
com.portto.blocto,48.0,3.0,,1.0,2.0,6.0,14.0,21.0,0.06,0.1,0.07,
com.prizmbit,39.0,1.0,,2.0,1.0,5.0,5.0,11.0,0.03,0.09,0.4,
com.profittrading.forcoinbase,52.0,1.0,,2.0,2.0,3.0,4.0,7.0,0.02,0.29,0.5,
com.ptpwallet,4.0,,,2.0,,3.0,7.0,11.0,,,0.29,
com.pumapay.pumawallet,18.0,1.0,,2.0,1.0,5.0,5.0,9.0,0.06,0.11,0.4,
com.qcan.mobile.bitcoin.wallet,9.0,1.0,,1.0,,2.0,7.0,9.0,0.11,,0.14,
com.qsoft.mybtc,2.0,,,1.0,1.0,1.0,3.0,7.0,,0.14,0.33,
com.quarkonium.qpocket,75.0,2.0,,5.0,8.0,3.0,14.0,25.0,0.03,0.32,0.36,
com.qubris.freecryptofaucet,2.0,,,1.0,,1.0,2.0,2.0,,,0.5,
com.quidax.app,27.0,8.0,,5.0,2.0,11.0,13.0,20.0,0.3,0.1,0.38,
com.quppy,7.0,2.0,,1.0,1.0,5.0,5.0,9.0,0.29,0.11,0.2,
com.raido_wallet,11.0,,,1.0,,3.0,1.0,1.0,,,1.0,
com.remint.app,7.0,2.0,,2.0,1.0,7.0,13.0,13.0,0.29,0.08,0.15,
com.remitano.remitano,18.0,2.0,,4.0,2.0,9.0,16.0,16.0,0.11,0.12,0.25,
com.ripio.android,15.0,2.0,,3.0,2.0,5.0,5.0,12.0,0.13,0.17,0.6,
com.saltlending.mobile,13.0,1.0,,3.0,2.0,7.0,15.0,13.0,0.08,0.15,0.2,
com.savl,8.0,1.0,,1.0,2.0,5.0,5.0,11.0,0.12,0.18,0.2,
com.sculptech.dtrax,5.0,,,2.0,,6.0,9.0,12.0,,,0.22,
com.sencoinex.android,40.0,,,2.0,,4.0,3.0,3.0,,,0.67,
com.shapeshift.droid_shapeshift,6.0,,,2.0,,6.0,10.0,19.0,,,0.2,
