,app_id,customized,dangerous,normal,signature,unknown
138,com.coinspot.app,1.0,3.0,4.0,,
139,com.colodax.colodax,3.0,4.0,3.0,1.0,
140,com.coolbitx.cwsapp,5.0,5.0,14.0,1.0,
141,com.counos,5.0,3.0,7.0,1.0,
142,com.credtech,,,1.0,,
143,com.cryonik.webview,,2.0,2.0,,
144,com.crypter.cryptocyrrency,5.0,6.0,9.0,2.0,
145,com.crypterium,3.0,6.0,8.0,1.0,
146,com.crypto.multiwallet,2.0,3.0,5.0,1.0,1.0
147,com.cryptocurrency.exchange.app.online,,2.0,3.0,,
148,com.cryptocurrency.jtechtrade,23.0,12.0,11.0,4.0,1.0
149,com.cryptonator.android,2.0,1.0,5.0,1.0,
150,com.cryptooriented.exchanges,19.0,1.0,5.0,1.0,
151,com.cryptowallet.deviantx,5.0,6.0,7.0,1.0,
152,com.cryptowallet.si,,3.0,7.0,,
153,com.currency.exchange.prod2,3.0,6.0,6.0,1.0,
154,com.cwallet,22.0,2.0,7.0,1.0,
155,com.cyberblock.cyberblockmobile,5.0,4.0,4.0,1.0,
156,com.czprime,3.0,7.0,9.0,2.0,
157,com.dapppocket,3.0,5.0,7.0,2.0,
158,com.defi.wallet,4.0,4.0,7.0,1.0,
159,com.delieverme,,3.0,3.0,1.0,
160,com.digifinex.app,22.0,6.0,11.0,3.0,2.0
161,com.dmaxwallet,,1.0,3.0,,
162,com.doge.dex,,2.0,5.0,,
163,com.dok.wallet,4.0,4.0,7.0,1.0,
164,com.dowallet,21.0,8.0,8.0,1.0,
165,com.drcrypto.wallet,4.0,4.0,7.0,1.0,
166,com.dsdaq.mobiletrader,4.0,4.0,5.0,1.0,
167,com.eletac.tronwallet,6.0,5.0,7.0,1.0,
168,com.ellipal.wallet,5.0,8.0,9.0,3.0,2.0
169,com.elrond.maiar.wallet,4.0,4.0,8.0,1.0,
170,com.emberfund.ember,22.0,9.0,12.0,4.0,1.0
171,com.enjin.mobile.wallet,8.0,2.0,7.0,1.0,
172,com.eofinance,14.0,3.0,7.0,2.0,
173,com.erdtoken.android,,2.0,1.0,,
174,com.escrowspace,4.0,2.0,3.0,1.0,
175,com.ethlimited,,4.0,5.0,,
176,com.evercoin,5.0,4.0,7.0,2.0,
177,com.evraon.trading,3.0,1.0,6.0,1.0,
178,com.exchangily.wallet,,3.0,6.0,,
179,com.exmo,4.0,5.0,9.0,3.0,
180,com.ezdefi,21.0,4.0,9.0,2.0,
181,com.factwallet.crypto.factwallet,,,5.0,,
182,com.farhadmarket.app,3.0,4.0,10.0,1.0,
183,com.fitbobcat.litecoinplus,,1.0,2.0,,
184,com.flashift.flashift,3.0,3.0,4.0,1.0,
185,com.flitaa.app,3.0,3.0,7.0,1.0,
186,com.fluidcoins.fluidcoins,4.0,1.0,6.0,1.0,
187,com.flutter.litebit,4.0,4.0,9.0,1.0,
